Year,DeathRate,BirthRate,ImmigrationRate,EmigrationRate,PopulationNr,AverageAge,MaleRate,FemaleRate,GrowthRate,Age0_17,Age18_34,Age35_54,Age55_up,Latitude,Longitude
2014,0.06,0.116,0.1527,0.82,514.861,38.32,0.494,0.506,0.0068,0.21,0.27,0.29,0.25,52.0704978,4.3006999
2015,0.0539,0.1,0.16,0.81,519.988,36.4,0.5,0.5,0.0064,0.25,0.23,0.3,0.23,52.0704978,4.3006999
